date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,24,16,0.0,14.5,6,6,4,04:02 AM,07:57 PM,06:15 AM,09:05 PM,14,20,21,20,23,6,66,0.0,1017,24,10,334,15
2008-07-02,22,17,0.0,14.5,5,5,0,05:06 AM,08:59 PM,06:16 AM,09:05 PM,14,19,20,19,23,10,72,0.0,1017,22,10,321,17
2008-07-03,22,16,0.0,14.5,5,5,0,06:19 AM,09:50 PM,06:16 AM,09:05 PM,11,19,19,19,23,5,64,0.0,1019,22,10,331,16
2008-07-04,25,15,0.0,14.5,6,6,3,07:37 AM,10:30 PM,06:17 AM,09:05 PM,15,20,21,20,15,11,72,0.0,1018,25,10,292,10
2008-07-05,24,18,0.0,14.5,6,6,10,08:53 AM,11:03 PM,06:17 AM,09:05 PM,16,21,22,21,18,39,78,0.0,1018,24,8,324,13
2008-07-06,21,16,0.0,14.5,5,5,17,10:05 AM,11:30 PM,06:18 AM,09:04 PM,11,18,19,18,29,1,64,0.0,1019,21,10,343,22
2008-07-07,22,16,0.0,14.5,5,5,25,11:13 AM,11:55 PM,06:19 AM,09:04 PM,11,19,19,19,31,0,63,0.0,1019,22,10,349,23
2008-07-08,24,17,0.0,14.5,5,5,32,12:18 PM,No moonset,06:19 AM,09:04 PM,14,20,21,20,28,7,69,0.0,1019,24,10,254,19
2008-07-09,24,16,0.0,14.5,5,5,39,01:21 PM,12:17 AM,06:20 AM,09:03 PM,14,20,21,20,24,3,71,0.0,1019,24,10,333,16
2008-07-10,25,17,0.0,14.5,6,6,47,02:22 PM,12:40 AM,06:20 AM,09:03 PM,16,21,22,21,20,2,76,0.0,1019,25,10,321,14
